InstanceID,DateTimeStamp,Respondent,CaregiverID,StudyPhase,SessionType,SessionCount,Merge_TotalSessionTrials,SessionBlockCount,SelfMonitoring1,SelfMonitoring2,SelfMonitoring3,SelfMonitoring4,SelfMonitoring5,SelfMonitoring6,SelfMonitoring6a_1,SelfMonitoring6a_2,SelfMonitoring6a_3,ConfMonitoring1,ConfMonitoring2,ConfMonitoring3,ConfMonitoring4,ConfMonitoring5,ConfMonitoring6,ConfMonitoring6a_1,ConfMonitoring6a_2,ConfMonitoring6a_3,ConfConfederateInteraction,ConfTrialNote,IOAMonitoring1,IOAMonitoring2,IOAMonitoring3,IOAMonitoring4,IOAMonitoring5,IOAMonitoring6,IOAMonitoring6a_1,IOAMonitoring6a_2,IOAMonitoring6a_3,IOAConfederateInteraction,IOATrialNote,IOAxCONF_Key
ay9xpkvfkq,2024-08-06T14:27:32-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,12,6,,,,,,,,,,0,1,0,0,1,0,0,0,1,0,,0,1,0,0,1,0,0,0,1,0,,38
dhz81nhvnu,2024-08-06T14:28:58-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,13,6.5,,,,,,,,,,0,1,0,0,1,1,0,1,0,1,Joke about drawing,0,1,0,0,1,1,1,1,0,1,Joke about drawing 24:15,39
v6h0qhxezv,2024-08-06T14:30:17-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,14,7,,,,,,,,,,0,1,0,0,1,0,1,1,1,0,,0,1,0,0,1,0,0,0,1,0,,40
tfjkg475qi,2024-08-06T14:31:31-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,15,7.5,,,,,,,,,,0,1,0,0,1,1,0,1,0,0,,0,1,0,0,1,1,0,1,0,0,,41
nyhoddoted,2024-08-06T14:32:31-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,16,8,,,,,,,,,,0,1,0,0,1,0,0,0,1,0,,0,1,0,0,1,0,0,0,1,0,,42
qr4b9h5rfk,2024-08-06T14:36:59-04:00,3_IOAxCONF,Case3,0_BL,0_AC,1,2,0.5,,,,,,,,,,1,0,0,0,1,1,0,0,0,0,,0,1,0,0,1,1,0,0,0,0,,43
305smus3na,2024-08-06T14:41:21-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,18,1,,,,,,,,,,0,1,0,0,1,1,0,1,0,0,,0,1,0,0,1,1,1,1,0,0,,48
vx8357a2wu,2024-08-06T14:42:38-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,19,1.5,,,,,,,,,,0,1,0,0,1,0,0,0,1,0,,0,1,0,0,1,0,0,0,0,0,,49
rpef5nl8ky,2024-08-06T14:44:00-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,20,2,,,,,,,,,,0,0,0,0,1,1,0,1,0,0,,0,1,0,0,1,1,1,1,0,1,Joke about drawing 39:30,50
2ahwij0p7v,2024-08-06T14:45:11-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,21,2.5,,,,,,,,,,1,1,0,0,1,1,1,1,0,0,,0,1,0,0,1,1,1,1,0,0,,51
3he8tyx9gc,2024-08-06T14:46:18-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,22,3,,,,,,,,,,0,1,0,0,1,0,0,0,1,0,,0,1,0,0,1,0,0,0,0,0,,52
w30gin0e3v,2024-08-06T14:50:08-04:00,3_IOAxCONF,Case3,0_BL,0_AC,1,3,0.5,,,,,,,,,,1,1,0,1,1,1,0,1,0,0,,1,1,0,0,1,1,0,1,0,0,,53
xzuoviw1k5,2024-08-06T14:52:05-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,23,0.5,,,,,,,,,,0,1,0,0,1,0,0,0,1,0,,0,1,0,0,1,0,0,0,1,0,,54
9b4dhcqlci,2024-08-06T14:53:27-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,24,1,,,,,,,,,,1,1,0,0,1,1,0,1,0,0,,0,1,0,0,1,1,0,1,0,0,Child interrupted briefly 48:30,55
rzwhywcd4l,2024-08-06T14:54:29-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,25,1.5,,,,,,,,,,1,1,0,1,1,0,0,0,1,0,,0,1,0,0,1,0,0,0,0,0,,56
0jiez2d4jx,2024-08-06T14:55:58-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,26,2,,,,,,,,,,1,1,0,1,0,1,0,1,0,0,Blocks were in bin. Forgot,1,1,0,0,1,1,0,1,0,0,,57
irjdgx069j,2024-08-06T14:58:13-04:00,3_IOAxCONF,Case3,0_BL,0_AC,1,4,0.5,,,,,,,,,,0,1,0,0,0,1,0,1,0,0,,0,1,0,0,1,1,0,1,0,0,,58
tpu1le2y24,2024-08-06T10:11:30-04:00,3_IOAxCONF,Case1,0_BL,0_AC,1,1,0.5,,,,,,,,,,1,1,0,0,1,1,0,1,0,0,Remembered reward after the fact,1,1,0,0,1,1,0,1,1,1,Caregiver asked if she was allowed to give child treat 1:00,59
4wfnryqwqr,2024-08-06T10:16:49-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,1,0.5,,,,,,,,,,1,1,0,0,1,0,0,0,1,0,,1,1,0,0,1,0,0,0,1,1,"Small talk on ""Rob"" versus ""Robert"" 7:00",60
76b6silt5i,2024-08-06T10:18:11-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,2,1,,,,,,,,,,1,1,0,0,1,1,0,1,1,0,Prompt to phone down,1,1,0,0,1,1,0,1,1,0,,61
zmp0lp9k1f,2024-08-06T10:19:27-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,3,1.5,,,,,,,,,,1,1,0,0,1,1,0,1,1,0,,1,1,1,0,1,1,1,1,1,1,Caregiver asked about whether she does the same thing every time 10:00,62
fezz3o4qcl,2024-08-06T10:21:08-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,4,2,,,,,,,,,,1,1,0,1,1,1,0,1,1,1,I complied when I shouldn't have **Addressed 2024.09.16**,0,1,0,0,1,1,1,1,1,0,,63
wfh37yc833,2024-08-06T10:22:56-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,5,2.5,,,,,,,,,,1,1,0,0,1,0,0,0,1,0,,1,1,0,0,1,0,0,0,1,0,Whiteboard had incorrect trial # listed,64
7o936qd290,2024-08-06T10:25:16-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,6,3,,,,,,,,,,1,1,0,1,1,1,0,1,1,0,,1,1,0,1,1,1,1,1,1,0,,65
f61mf134s8,2024-08-06T10:35:59-04:00,3_IOAxCONF,Case1,0_BL,0_AC,1,2,0.5,,,,,,,,,,1,1,0,0,0,1,0,1,1,0,Child talked to me,1,1,0,0,1,1,0,1,1,0,,66
zqpztu3q7m,2024-08-06T10:39:34-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,7,0.5,,,,,,,,,,1,1,0,0,1,1,0,1,1,0,,1,1,1,0,1,1,0,0,1,0,,67
nufa2j4q87,2024-08-06T10:41:41-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,8,1,,,,,,,,,,1,1,0,0,1,0,0,0,1,0,Had to check phone for no comply ,1,1,0,0,1,0,0,0,1,0,,68
wh09w5y1rs,2024-08-06T10:43:28-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,9,1.5,,,,,,,,,,1,1,0,0,1,0,0,0,1,0,Checked phone again,1,1,0,0,1,0,0,0,1,0,,69
wn1ygertr5,2024-08-06T10:44:50-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,10,2,,,,,,,,,,1,1,0,0,1,1,0,1,1,0,,1,1,0,0,1,1,1,1,1,0,,70
ney3hgrhzn,2024-08-06T10:46:34-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,11,2.5,,,,,,,,,,1,1,0,0,0,1,0,1,1,0,Not sure what the direction was,1,1,0,0,1,1,1,1,1,0,"""Here is your strawberry for listening"" (not sure if that counts as verbal feedback)",71
grpy4vkmdw,2024-08-06T10:48:31-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,12,3,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,Joke about behavior,0,1,0,0,1,0,0,0,1,0,,72
z08uj7ac1w,2024-08-06T10:53:19-04:00,3_IOAxCONF,Case1,0_BL,0_AC,1,3,0.5,,,,,,,,,,1,1,0,0,1,1,0,1,1,0,,1,1,0,0,1,1,1,1,1,0,,73
9vaxpkqdjo,2024-08-08T10:07:20-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,1,0.5,,,,,,,,,,1,1,0,0,1,1,1,1,1,0,,1,1,1,0,1,1,0,1,1,0,,74
k7g0uooap7,2024-08-08T10:08:21-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,2,1,,,,,,,,,,1,1,0,0,1,0,1,1,1,0,,1,1,0,0,1,0,0,0,1,0,,75
o2wdtm4y2g,2024-08-08T10:09:34-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,3,1.5,,,,,,,,,,1,1,0,0,1,1,0,1,1,0,,1,1,0,0,1,1,0,1,1,0,,76
2xq3906fvt,2024-08-08T10:10:45-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,4,2,,,,,,,,,,1,1,0,0,1,0,1,1,1,0,,1,1,0,0,1,0,0,1,1,0,,77
vqh7gfxcey,2024-08-08T10:12:23-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,5,2.5,,,,,,,,,,1,1,0,0,1,0,1,1,1,1,,1,1,1,0,1,0,1,1,1,0,,78
u7tt56x4zn,2024-08-08T10:13:41-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,6,3,,,,,,,,,,1,1,0,1,1,1,1,1,1,0,,1,1,1,0,1,1,1,1,1,0,,79
mwwt50zvma,2024-08-08T10:14:44-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,7,3.5,,,,,,,,,,1,1,0,0,1,0,1,1,1,0,,1,1,1,0,1,0,1,1,1,0,,80
63c7z22k5i,2024-08-08T10:15:45-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,8,4,,,,,,,,,,1,1,0,1,0,1,1,1,1,0,,1,1,0,0,1,1,1,1,1,0,,81
77scmgllqe,2024-08-08T10:16:57-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,9,4.5,,,,,,,,,,1,1,0,0,1,0,1,1,1,0,,1,1,1,0,1,0,1,1,1,0,,82
yo3ske4qqn,2024-08-08T10:18:01-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,10,5,,,,,,,,,,1,1,0,0,1,1,1,1,1,0,,1,1,0,0,1,1,0,1,1,0,,83
omyuc8kvj5,2024-08-08T10:19:06-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,11,5.5,,,,,,,,,,1,1,0,1,1,0,1,1,1,0,,1,1,1,0,1,0,1,1,1,0,,84
tqd8io78y1,2024-08-08T10:20:30-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,12,6,,,,,,,,,,1,1,0,0,1,1,1,1,1,0,,1,1,1,0,1,1,1,1,1,0,,85
l9qcvrx9ff,2024-08-08T10:21:57-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,13,6.5,,,,,,,,,,1,1,0,0,1,0,1,1,1,0,,1,1,1,0,1,0,1,1,1,0,,86
dnokw51592,2024-08-08T10:23:27-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,14,7,,,,,,,,,,1,1,0,0,1,1,1,1,1,0,,1,1,1,0,1,1,1,1,1,0,,87
l4bnh1calr,2024-08-08T10:25:04-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,15,7.5,,,,,,,,,,1,1,1,1,1,1,0,1,1,1,Asked about written feedback,1,1,0,0,1,1,0,1,1,0,,88
gcxlocm6jn,2024-08-08T10:25:56-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,16,8,,,,,,,,,,1,1,1,1,1,0,1,1,1,1,,1,1,1,1,1,0,1,1,1,0,,89
9jzbe1om92,2024-08-08T10:27:09-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,17,8.5,,,,,,,,,,1,1,1,0,1,0,1,1,1,1,,1,1,1,0,1,0,1,1,1,0,,90
6ucigy2n12,2024-08-08T10:28:23-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,18,9,,,,,,,,,,1,1,0,0,1,1,1,1,1,0,,1,1,1,0,1,1,0,0,1,0,Caregiver took ~4 sec for feedback,91
nneqyyrric,2024-08-08T10:34:09-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,19,9.5,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Had just given verbal feedback,1,1,1,1,1,1,1,1,1,1,Confederate provided some coaching/feedback to caregiver 23:00,92
jc1k7c9yem,2024-08-08T10:35:01-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,20,10,,,,,,,,,,1,1,1,1,1,0,1,1,1,1,,1,1,1,1,1,0,1,1,1,0,,93
c9o0v9ykd7,2024-08-08T10:36:02-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,21,10.5,,,,,,,,,,1,1,1,1,1,1,0,1,1,0,,1,1,1,1,1,1,1,1,1,0,,94
2qwvmm07ui,2024-08-08T10:36:47-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,22,11,,,,,,,,,,1,1,1,1,1,0,1,1,1,0,,1,1,1,1,1,0,1,1,1,1,,95
jjm57uwqzt,2024-08-08T10:37:54-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,23,11.5,,,,,,,,,,1,1,1,0,1,0,1,1,1,0,,1,0,1,0,1,0,1,1,1,0,,96
iahde57cm8,2024-08-08T10:38:53-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,24,12,,,,,,,,,,1,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,1,1,1,0,,97
xfafelu310,2024-08-08T10:41:01-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,25,12.5,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Previous verbal feedback,1,1,1,1,1,1,1,1,1,1,Confederate provided further coaching 33:00,98
ylwmempocs,2024-08-08T10:42:11-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,26,13,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,I complied **Addressed 2024.09.16**,1,1,1,1,1,1,1,1,1,0,,99
5af6ra23cu,2024-08-08T10:43:38-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,27,13.5,,,,,,,,,,1,1,1,1,1,0,1,1,1,0,,1,1,1,1,1,1,1,1,1,0,,100
hj5bssexha,2024-08-08T10:44:27-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,28,14,,,,,,,,,,1,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,1,1,1,0,,101
tdquvppn2k,2024-08-08T10:45:21-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,29,14.5,,,,,,,,,,1,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,1,1,1,0,,102
o1n9nyvq1v,2024-08-08T10:46:30-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,30,15,,,,,,,,,,1,1,0,0,1,0,1,1,1,0,,1,1,1,1,1,0,1,1,1,0,,103
20biysgoz7,2024-08-19T11:02:31-04:00,3_IOAxCONF,Case1,5_RTB,0_AC,7,1,0.5,,,,,,,,,,1,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,1,1,1,0,,104
8ie3mrou4h,2024-08-19T11:03:13-04:00,3_IOAxCONF,Case1,5_RTB,0_AC,7,2,1,,,,,,,,,,1,1,1,1,1,0,1,1,1,1,Caregiver initiated end of trial,1,1,0,0,1,0,1,1,1,0,,105
ezencmrird,2024-08-19T11:04:11-04:00,3_IOAxCONF,Case1,5_RTB,0_AC,7,3,1.5,,,,,,,,,,1,1,1,1,1,0,1,1,1,0,,1,1,1,1,1,0,1,1,1,0,Noticed that the child did eventually comply,106
xd3xahzf81,2024-08-14T09:00:53-04:00,3_IOAxCONF,Case3,3_T3,1_SC,4,1,0.5,,,,,,,,,,1,1,1,1,1,0,1,1,1,0,,1,1,1,1,1,0,1,1,1,0,,107
rixk768iqu,2024-08-14T09:01:54-04:00,3_IOAxCONF,Case3,3_T3,1_SC,4,2,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,1,1,1,0,,108
k0ay8aucra,2024-08-14T09:02:59-04:00,3_IOAxCONF,Case3,3_T3,1_SC,4,3,1.5,,,,,,,,,,1,1,1,1,1,1,1,1,1,0,,1,1,1,1,0,1,1,1,1,0,Very neutral tone,109
r8ruyihge5,2024-08-14T09:03:42-04:00,3_IOAxCONF,Case3,3_T3,1_SC,4,4,2,,,,,,,,,,1,1,1,1,1,0,1,1,1,0,,1,1,1,1,1,0,1,1,1,0,,110
m2oc7z1zit,2024-08-14T09:04:59-04:00,3_IOAxCONF,Case3,3_T3,1_SC,4,5,2.5,,,,,,,,,,1,1,0,1,1,1,0,1,1,0,,1,1,1,1,1,0,1,1,1,0,,111
73v7awwxz6,2024-08-14T09:05:59-04:00,3_IOAxCONF,Case3,3_T3,1_SC,4,6,3,,,,,,,,,,1,1,1,1,1,0,1,1,1,0,,1,1,1,1,1,0,1,1,1,0,,112
jve0bc8gh8,2024-08-14T09:07:47-04:00,3_IOAxCONF,Case3,3_T3,1_SC,4,8,4,,,,,,,,,,1,1,1,1,1,1,1,1,1,0,,1,1,1,1,0,1,1,1,1,0,"very soft tone. This is also supposed to be trial 8, not sure if i fixed the #",113
esxf9xbcco,2024-08-14T09:08:28-04:00,3_IOAxCONF,Case3,3_T3,1_SC,4,9,4.5,,,,,,,,,,1,1,1,1,1,0,1,1,1,0,,1,1,1,1,1,0,1,1,1,0,,114
zsydrua0kw,2024-08-14T09:09:11-04:00,3_IOAxCONF,Case3,3_T3,1_SC,4,10,5,,,,,,,,,,1,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,1,1,1,0,,115
g3ustmig5t,2024-08-14T09:10:03-04:00,3_IOAxCONF,Case3,3_T3,1_SC,4,11,5.5,,,,,,,,,,1,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,1,1,1,0,,116
7anv3ijurn,2024-08-14T09:10:44-04:00,3_IOAxCONF,Case3,3_T3,1_SC,4,12,6,,,,,,,,,,1,1,1,1,1,0,1,1,1,0,,1,1,1,1,1,0,1,1,1,0,,117
1dd4utxqq0,2024-08-14T09:15:50-04:00,3_IOAxCONF,Case3,3_T3,0_AC,4,1,0.5,,,,,,,,,,1,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,1,1,1,0,,118
