InstanceID_IOA,InstanceID_CARE,DateTimeStamp,Respondent,CaregiverID,StudyPhase,SessionType,SessionCount,Merge_TotalSessionTrials,SessionBlockCount,SelfMonitoring1,SelfMonitoring2,SelfMonitoring3,SelfMonitoring4,SelfMonitoring5,SelfMonitoring6,SelfMonitoring6a_1,SelfMonitoring6a_2,SelfMonitoring6a_3,IOAMonitoring1,IOAMonitoring2,IOAMonitoring3,IOAMonitoring4,IOAMonitoring5,IOAMonitoring6,IOAMonitoring6a_1,IOAMonitoring6a_2,IOAMonitoring6a_3,IOAConfederateInteraction,IOAxCARE_Key
mh1er4o7er,2r8rdssg9b,2024-08-08T10:16:41-04:00,0_CARE,Case1,2_T2,1_SC,3,9,4.5,,,1,1,1,,,,,1,1,1,0,1,0,1,1,1,0,9
4r8z24dj0i,f15kp3ycdz,2024-08-08T10:17:48-04:00,0_CARE,Case1,2_T2,1_SC,3,10,5,,,1,1,1,,,,,1,1,0,0,1,1,0,1,1,0,10
56g60rpg16,t86zqgev6s,2024-08-08T10:18:51-04:00,0_CARE,Case1,2_T2,1_SC,3,11,5.5,,,1,1,1,,,,,1,1,1,0,1,0,1,1,1,0,11
d6l45fq2ri,8x99vdjc9y,2024-08-08T10:19:57-04:00,0_CARE,Case1,2_T2,1_SC,3,12,6,,,1,1,1,,,,,1,1,1,0,1,1,1,1,1,0,12
fr4p17schn,hinc6hwof3,2024-08-08T10:21:39-04:00,0_CARE,Case1,2_T2,1_SC,3,13,6.5,,,1,1,1,,,,,1,1,1,0,1,0,1,1,1,0,13
qlx6imdq79,zfhczmbu3u,2024-08-08T10:22:53-04:00,0_CARE,Case1,2_T2,1_SC,3,14,7,,,1,1,1,,,,,1,1,1,0,1,1,1,1,1,0,14
bzgpdechqj,6pgjlig23z,2024-08-08T10:24:44-04:00,0_CARE,Case1,2_T2,1_SC,3,15,7.5,,,1,1,1,,,,,1,1,0,0,1,1,0,1,1,0,15
vgkp8zjqzm,9xggbf71pt,2024-08-08T10:25:57-04:00,0_CARE,Case1,2_T2,1_SC,3,16,8,,,1,1,1,,,,,1,1,1,1,1,0,1,1,1,0,16
d8x2z310fx,v55kb026yw,2024-08-08T10:26:51-04:00,0_CARE,Case1,2_T2,1_SC,3,17,8.5,,,1,1,1,,,,,1,1,1,0,1,0,1,1,1,0,17
734eninxvv,9jris48ng4,2024-08-08T10:28:06-04:00,0_CARE,Case1,2_T2,1_SC,3,18,9,,,1,1,1,,,,,1,1,1,0,1,1,0,0,1,0,18
maxcjqdrw9,b2yqtkzpa7,2024-08-08T10:33:58-04:00,0_CARE,Case1,2_T2,1_SC,3,19,9.5,,,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,19
rm8rmwo66j,s90dxx6k2z,2024-08-08T10:34:57-04:00,0_CARE,Case1,2_T2,1_SC,3,20,10,,,1,1,1,,,,,1,1,1,1,1,0,1,1,1,0,20
y8rhyubsok,wxr90ecf8k,2024-08-08T10:35:53-04:00,0_CARE,Case1,2_T2,1_SC,3,21,10.5,,,1,1,1,,,,,1,1,1,1,1,1,1,1,1,0,21
nd0rmpg3pv,syuqgspuqo,2024-08-08T10:36:47-04:00,0_CARE,Case1,2_T2,1_SC,3,22,11,,,1,1,1,,,,,1,1,1,1,1,0,1,1,1,1,22
vioxlffn8a,oxtkhpea58,2024-08-08T10:37:44-04:00,0_CARE,Case1,2_T2,1_SC,3,23,11.5,,,1,0,1,,,,,1,0,1,0,1,0,1,1,1,0,23
6jf8x6m65g,qao6a1by8c,2024-08-08T10:38:45-04:00,0_CARE,Case1,2_T2,1_SC,3,24,12,,,1,1,1,,,,,1,1,1,1,1,1,1,1,1,0,24
b2cv0nv2g0,1a1g5bddgm,2024-08-08T10:40:46-04:00,0_CARE,Case1,2_T2,1_SC,3,25,12.5,,,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,25
gma9hpwu0p,df2gkwblbx,2024-08-08T10:42:07-04:00,0_CARE,Case1,2_T2,1_SC,3,26,13,,,1,1,1,,,,,1,1,1,1,1,1,1,1,1,0,26
d58j6dfoi3,tf8xbov0s1,2024-08-08T10:43:23-04:00,0_CARE,Case1,2_T2,1_SC,3,27,13.5,,,1,1,1,,,,,1,1,1,1,1,1,1,1,1,0,27
j0rtbyxbvh,l5f65rcabc,2024-08-08T10:44:33-04:00,0_CARE,Case1,2_T2,1_SC,3,28,14,,,1,1,1,,,,,1,1,1,1,1,1,1,1,1,0,28
pocntkr3bb,5lucgzh833,2024-08-08T10:45:33-04:00,0_CARE,Case1,2_T2,1_SC,3,29,14.5,,,1,1,1,,,,,1,1,1,1,1,1,1,1,1,0,29
q4b896tlmn,n1tmf8xdlh,2024-08-08T10:46:15-04:00,0_CARE,Case1,2_T2,1_SC,3,30,15,,,1,0,1,,,,,1,1,1,1,1,0,1,1,1,0,30
ewxfrj18h2,t8pxhyu9up,2024-08-14T09:01:09-04:00,0_CARE,Case3,3_T3,1_SC,4,1,0.5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,31
1t1iowgtpt,ybi4hhvybk,2024-08-14T09:02:03-04:00,0_CARE,Case3,3_T3,1_SC,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,32
ctu2c5a2ry,66ecwnierd,2024-08-14T09:03:03-04:00,0_CARE,Case3,3_T3,1_SC,4,3,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,33
6gfrzmpdlk,ixqbg88c9g,2024-08-14T09:03:52-04:00,0_CARE,Case3,3_T3,1_SC,4,4,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,34
kyy0ibw5h5,vx85tlxdqt,2024-08-14T09:05:13-04:00,0_CARE,Case3,3_T3,1_SC,4,5,2.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,35
rbbidk7at3,9di50wq15n,2024-08-14T09:06:07-04:00,0_CARE,Case3,3_T3,1_SC,4,6,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,36
sf49pxvi6r,wntpo8qsgw,2024-08-14T09:06:58-04:00,0_CARE,Case3,3_T3,1_SC,4,7,3.5,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,37
2rgnz7tcni,5zwvb1r8ht,2024-08-14T09:08:37-04:00,0_CARE,Case3,3_T3,1_SC,4,9,4.5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,38
ynl71yhho2,ibwmzvdmu9,2024-08-14T09:09:18-04:00,0_CARE,Case3,3_T3,1_SC,4,10,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,39
5ivcwqnz46,guyh9dm7u2,2024-08-14T09:10:05-04:00,0_CARE,Case3,3_T3,1_SC,4,11,5.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,40
xunm7k7en3,na3xhyfjq0,2024-08-14T09:10:52-04:00,0_CARE,Case3,3_T3,1_SC,4,12,6,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,41
qe93m4qrvs,ybmr7xnnip,2024-08-13T08:59:41-04:00,0_CARE,Case3,2_T2,1_SC,3,1,0.5,,,1,1,1,,,,,1,1,0,1,1,1,0,1,1,0,42
rsfxpuknwc,9wu7i8iclo,2024-08-13T09:02:19-04:00,0_CARE,Case3,2_T2,1_SC,3,4,2,,,1,1,1,,,,,1,1,1,1,1,1,1,1,1,0,43
x924pt7327,zyqwop1bol,2024-08-07T09:40:05-04:00,0_CARE,Case3,1_T1,1_SC,2,4,2,1,1,,,,0,1,1,1,1,1,0,0,1,0,1,1,1,0,46
mexvv32614,jv9wyewjup,2024-08-07T09:52:50-04:00,0_CARE,Case3,1_T1,1_SC,2,14,7,1,1,,,,0,1,1,1,1,1,0,0,1,0,1,1,1,0,49
